Source_row,中文名,学名,省份,引用,原搁置原因,建议裁定,置信度,裁定依据
1058,浦活纤树蛙,Gracixalus quangi,,"JIAN WANG & ZHAO-CHI ZENG, ZHI-TONG LYU, ZU-YAO LIU & YING-YONG WANG (2018). Description of a new species of G",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1059,,Gracixalus carinensis,,"JIAN WANG & ZHAO-CHI ZENG, ZHI-TONG LYU, ZU-YAO LIU & YING-YONG WANG (2018). Description of a new species of G",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1060,墨脱纤树蛙,Gracixalus medogensis,,"JIAN WANG & ZHAO-CHI ZENG, ZHI-TONG LYU, ZU-YAO LIU & YING-YONG WANG (2018). Description of a new species of G",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1063,仙琴蛙,Nidirana daunchina,,Zhi-Tong Lyu and Yun-Ming Mo and Han Wan and Yu-Long Li and Hong Pang and Ying-Yong Wang (2019). Description o,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1064,沙巴琴蛙,Nidirana chapaensis,,Zhi-Tong Lyu and Yun-Ming Mo and Han Wan and Yu-Long Li and Hong Pang and Ying-Yong Wang (2019). Description o,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1065,南昆山琴蛙,Nidirana nankunensis,,Zhi-Tong Lyu and Yun-Ming Mo and Han Wan and Yu-Long Li and Hong Pang and Ying-Yong Wang (2019). Description o,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1066,林琴蛙,Nidirana lini,,Zhi-Tong Lyu and Yun-Ming Mo and Han Wan and Yu-Long Li and Hong Pang and Ying-Yong Wang (2019). Description o,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1093,荔波角蟾,Boulenophrys liboensis,贵州,JIAN WANG and ZHAO-CHI ZENG and ZHI-TONG LYU and SHUO QI and ZU-YAO LIU and HONG-HUI CHEN and YU-HONG LU and H,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1094,林氏角蟾,Boulenophrys lini,湖南,JIAN WANG and ZHAO-CHI ZENG and ZHI-TONG LYU and SHUO QI and ZU-YAO LIU and HONG-HUI CHEN and YU-HONG LU and H,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1095,花斑钝头蛇,Pareas macularius,,Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A,记录类型无法判定（原表未标注且引用无线索）,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1098,荔浦臭蛙,Odorrana lipuensis,,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1099,荔波臭蛙,Odorrana liboensis,贵州,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1100,务川臭蛙,Odorrana wuchuanensis,,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1101,龙头山臭蛙,Odorrana leporipes,广东,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1102,越北臭蛙,Odorrana geminata,,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1103,光雾臭蛙,Odorrana kuangwuensis,,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1104,,Odorrana sinica,,Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hui Yi and Zhong Pan and Yan-Jun Sun and Zhao-Chi Zeng and Ji,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1106,金江壁虎,Gekko jinjiangensis,,Shun Ma and Sheng-Chao Shi and Cheng Shen and Li-Ming Chang and Jian-Ping Jiang (2024). Discovery of a new spe,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1107,金江壁虎,Gekko jinjiangensis,,"Shun Ma, Sheng-Chao Shi, Cheng Shen, Li-Ming Chang, and Jian-Ping Jiang (2024). Discovery of a new species of ",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1118,腺皱琴蛙,Nidirana adenopleura,福建,Zhi-Tong Lyu and Ke-Yuan Dai and Yao Li and Han Wan and Zhe-Yi Liu and Shuo Qi and Si-Min Lin and Jian Wang an,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1121,赵龙睑虎,Goniurosaurus zhelongi,广东,Shuo Qi and Jian Wang and L. Lee Grismer and Hong-Hui Chen and Zhi-Tong Lyu and Ying-Yong Wang (2020). The Sto,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1122,变异睑虎,Goniurosaurus varius,,Shuo Qi and Jian Wang and L. Lee Grismer and Hong-Hui Chen and Zhi-Tong Lyu and Ying-Yong Wang (2020). The Sto,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1137,腺棘琴蛙,Nidirana adenopleura,台湾、福建、浙江、江西,Zhi-Tong Lyu and Ke-Yuan Dai and Yao Li and Han Wan and Zhe-Yi Liu and Shuo Qi and Si-Min Lin and Jian Wang an,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1145,腺耳琴蛙,Nidirana adenopleura,台湾、福建、浙江、江西,Zhi-Tong Lyu and Ke-Yuan Dai and Yao Li and Han Wan and Zhe-Yi Liu and Shuo Qi and Si-Min Lin and Jian Wang an,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1151,黄氏高原蝮,Gloydius huangi,西藏,Jing-Song Shi and Jin-Cheng Liu and Rohit Giri and John Benjamin Owens and Vishal Santra and Sourish Kuttalam ,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1166,蓝环蛇,Bungarus candidus,,Ze-Ning Chen and Sheng-Chao Shi and Gernot Vogel and Li Ding and Jing-Song Shi (2021). Multiple lines of evide,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1173,蒙自后棱蛇,Pareas mengziensis,,"Shuo Liu & Dingqi Rao (2021). A new species of the genus Pareas (Squamata, Pareidae) from Yunnan, China ZooKey",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1204,颈槽蛇,Rhabdophis nuchalis,湖南,Qin Liu and Bing Lyu and Xinhong Xie and Yangmei Zeng and Peng Guo (2023). Genomic evidence sheds new light on,记录类型无法判定（原表未标注且引用无线索）,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
1205,九龙颈槽蛇,Rhabdophis pentasupralabialis,,Qin Liu and Bing Lyu and Xinhong Xie and Yangmei Zeng and Peng Guo (2023). Genomic evidence sheds new light on,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1206,中南树蜥,Calotes goetzi,菩萨,"Wagner, Ihlow, Hartmann, Flecks, Schmitz & Böhme (2021). Helminthen bei Calotes goetzi (Squamata: Agamidae) au",记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
1207,红蹼树蛙,Rhacophorus rhodopus,,Ping-Shin Lee and Ben Liu and Meng Ouyang and Ren-Da Ai and Xiao-Long Liu and Yan-Hong He and Ping-Qian Huang ,记录类型无法判定（原表未标注且引用无线索）,A2 排除-即新种本种(新种表已收录),高,即该文献描述种，新种表已收录
1209,盈江掌突蟾,Leptobrachella yingjiangensis,云南,Jin-Min Chen and Kai Xu and Nikolay A. Poyarkov and Kai Wang and Zhi-Yong Yuan and Mian Hou and Chatmongkon Su,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1217,盈江掌突蟾,Leptobrachella yingjiangensis,云南,Jin-Min Chen and Kai Xu and Nikolay A. Poyarkov and Kai Wang and Zhi-Yong Yuan and Mian Hou and Chatmongkon Su,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1221,盈江掌突蟾,Leptobrachella yingjiangensis,云南,Jin-Min Chen and Kai Xu and Nikolay A. Poyarkov and Kai Wang and Zhi-Yong Yuan and Mian Hou and Chatmongkon Su,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1228,,Leptobrachella yingjiangensis,云南,Jin-Min Chen and Kai Xu and Nikolay A. Poyarkov and Kai Wang and Zhi-Yong Yuan and Mian Hou and Chatmongkon Su,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1242,,Echinanthera amoena,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,C 排除-坐标在境外,高,坐标位于中国范围外
1245,,Echinanthera cephalostriata,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1246,,Sordellina,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1249,,Echinanthera amoena,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1252,亚东树蛙,Raorchestes yadongensis,西藏,Guocheng Shu and Ke Li and Yayong Wu and Qin Liu and Zhongping He and Ling Li and He Zhang and Peng Guo (2023),新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1253,布氏倭蛙,Nanorana blanfordii,西藏,Guocheng Shu and Ke Li and Yayong Wu and Qin Liu and Zhongping He and Ling Li and He Zhang and Peng Guo (2023),新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1254,喜马拉雅蟾蜍,Duttaphrynus himalayanus,西藏,Guocheng Shu and Ke Li and Yayong Wu and Qin Liu and Zhongping He and Ling Li and He Zhang and Peng Guo (2023),新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1255,利氏倭蛙,Nanorana liebigii,西藏,Guocheng Shu and Ke Li and Yayong Wu and Qin Liu and Zhongping He and Ling Li and He Zhang and Peng Guo (2023),新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1257,,Echinanthera cephalostriata,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1258,,Sordellina,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1259,,Taeniophallus occipitalis,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1262,布氏齿突蟾,Scutiger boulengeri,四川、西藏,Sheng-Chao Shi and Lu-Lu Sui and Shun Ma and Fei-Rong Ji and A-Yi Bu-Dian and Jian-Ping Jiang (2023). A new As,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1263,,Scutiger ghunsa,塔普勒琼,Sheng-Chao Shi and Lu-Lu Sui and Shun Ma and Fei-Rong Ji and A-Yi Bu-Dian and Jian-Ping Jiang (2023). A new As,记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
1264,腺疣齿突蟾,Scutiger glandulatus,,Sheng-Chao Shi and Lu-Lu Sui and Shun Ma and Fei-Rong Ji and A-Yi Bu-Dian and Jian-Ping Jiang (2023). A new As,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1265,瘤突齿突蟾,Scutiger mammatus,四川,Sheng-Chao Shi and Lu-Lu Sui and Shun Ma and Fei-Rong Ji and A-Yi Bu-Dian and Jian-Ping Jiang (2023). A new As,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1266,吴氏齿突蟾,Scutiger wuguanfui,西藏,Sheng-Chao Shi and Lu-Lu Sui and Shun Ma and Fei-Rong Ji and A-Yi Bu-Dian and Jian-Ping Jiang (2023). A new As,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1268,,Echinanthera undulata,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1269,,Echinanthera melanostigma,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1270,,Taeniophallus nicagus,,Arthur D. Abegg and Alfredo P. Santos Jr. and Henrique C. Costa and Jaqueline Battilana and Roberta Graboski a,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1275,云南半叶趾虎,Hemiphyllodactylus yunnanensis,云南,Hongxin Zhou and Xiuyan Li and Chaoying Yuan and Liangwei Cui and Shuo Liu and Dingqi Rao (2024). Integrative ,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1279,伊比利亚翠蜥,Lacerta schreiberi,,J. Abalos and F. de la Cruz and G. Pérez i de Lanuza & E. Font (2025). Intraspecific variation and detectabili,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1280,普通石龙子,Podarcis muralis,,J. Abalos and F. de la Cruz and G. Pérez i de Lanuza & E. Font (2025). Intraspecific variation and detectabili,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1282,隐华螈,Hypselotriton orphicus,广东,Jian Wang and Zhao-Chi Zeng and Tian-Li Wei and Zhi-Tong Lyu (2024). Taxonomic determination of Hypselotriton ,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1283,杰氏树蜥,Calotes jerdoni,梅加拉亚邦,Kai Wang and V. Deepak and Abhijit Das and L. Lee Grismer and Shuo Liu and Jing Che (2024). Systematic revisio,记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
1284,玛丽亚树蜥,Calotes maria,梅加拉亚邦,Kai Wang and V. Deepak and Abhijit Das and L. Lee Grismer and Shuo Liu and Jing Che (2024). Systematic revisio,记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
1285,墨脱树蜥,Calotes medogensis,西藏,Kai Wang and V. Deepak and Abhijit Das and L. Lee Grismer and Shuo Liu and Jing Che (2024). Systematic revisio,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1287,云南树蜥,Calotes yunnanensis,云南,Kai Wang and V. Deepak and Abhijit Das and L. Lee Grismer and Shuo Liu and Jing Che (2024). Systematic revisio,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1292,,Podarcis liolepis,,J. Abalos and F. de la Cruz and G. Pérez i de Lanuza & E. Font (2025). Intraspecific variation and detectabili,记录类型无法判定（原表未标注且引用无线索）,C 排除-坐标在境外,高,坐标位于中国范围外
1293,伊比利亚翠蜥,Lacerta schreiberi,,J. Abalos and F. de la Cruz and G. Pérez i de Lanuza & E. Font (2025). Intraspecific variation and detectabili,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1295,普通石龙子,Podarcis muralis,,J. Abalos and F. de la Cruz and G. Pérez i de Lanuza & E. Font (2025). Intraspecific variation and detectabili,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1296,,Podarcis liolepis,,J. Abalos and F. de la Cruz and G. Pérez i de Lanuza & E. Font (2025). Intraspecific variation and detectabili,记录类型无法判定（原表未标注且引用无线索）,C 排除-坐标在境外,高,坐标位于中国范围外
1297,哀鳞趾虎,Lepidodactylus lugubris,,Régis Gomès and Béatrice Ibéné (2013). Lepidodactylus lugubris (Mourning Gecko). Distribution. Caribbean Herpe,记录类型无法判定（原表未标注且引用无线索）,排除-国外记录（瓜德罗普）,高,Gomès & Ibéné 2013 加勒比外来种报道
1299,哀鳞趾虎,Lepidodactylus lugubris,,Régis Gomès and Béatrice Ibéné (2013). Lepidodactylus lugubris (Mourning Gecko). Distribution. Caribbean Herpe,记录类型无法判定（原表未标注且引用无线索）,排除-国外记录（瓜德罗普）,高,Gomès & Ibéné 2013 加勒比外来种报道
1300,上思掌突蟾,Leptobrachella shangsiensis,广西,Wei-Cai Chen and Peng Li and Wan-Xiao Peng and You-Jun Liu and Yong Huang (2023). The fourth species of Leptob,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1301,哀鳞趾虎,Lepidodactylus lugubris,,Régis Gomès and Béatrice Ibéné (2013). Lepidodactylus lugubris (Mourning Gecko). Distribution. Caribbean Herpe,记录类型无法判定（原表未标注且引用无线索）,排除-国外记录（瓜德罗普）,高,Gomès & Ibéné 2013 加勒比外来种报道
1306,,Apistocalamus,,Dr. Einar Lönnberg (1900). LXXV.--Reptiles and Batrachians collected in German New Guinea by the late Dr. Erik,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1307,,Pseudelas,,Dr. Einar Lönnberg (1900). LXXV.--Reptiles and Batrachians collected in German New Guinea by the late Dr. Erik,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1309,,Hyla gracilenta,,Dr. Einar Lönnberg (1900). LXXV.--Reptiles and Batrachians collected in German New Guinea by the late Dr. Erik,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1310,,Hyla dollchopsls,,Dr. Einar Lönnberg (1900). LXXV.--Reptiles and Batrachians collected in German New Guinea by the late Dr. Erik,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1311,,Hylella,,Dr. Einar Lönnberg (1900). LXXV.--Reptiles and Batrachians collected in German New Guinea by the late Dr. Erik,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1312,喜山蝮,Gloydius himalayanus,,Jing-Song Shi and Jin-Cheng Liu and Rohit Giri and John Benjamin Owens and Vishal Santra and Sourish Kuttalam ,记录类型无法判定（原表未标注且引用无线索）,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1313,红斑高山蝮,Gloydius rubromaculatus,青海,Jing-Song Shi and Jin-Cheng Liu and Rohit Giri and John Benjamin Owens and Vishal Santra and Sourish Kuttalam ,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
1314,红斑高山蝮,Gloydius rubromaculatus,,Jing-Song Shi and Jin-Cheng Liu and Rohit Giri and John Benjamin Owens and Vishal Santra and Sourish Kuttalam ,记录类型无法判定（原表未标注且引用无线索）,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1315,喜山蝮,Gloydius himalayanus,,Jing-Song Shi and Jin-Cheng Liu and Rohit Giri and John Benjamin Owens and Vishal Santra and Sourish Kuttalam ,记录类型无法判定（原表未标注且引用无线索）,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
1317,,Hyla monticola,四川,JIA-TANG LI and JUN LIU and YUE-YING CHEN and JIA-WEI WU and ROBERT W. MURPHY and ER-MI ZHAO and YUE-ZHAO WANG,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1318,,Hyla bambusicola,,JIA-TANG LI and JUN LIU and YUE-YING CHEN and JIA-WEI WU and ROBERT W. MURPHY and ER-MI ZHAO and YUE-ZHAO WANG,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1319,,Scutiger nepalensis,多蒂县,Sylvia Hofmann and Daniel Jablonski and Joachim Schmidt (2024). Morphological and molecular data warrant the d,新种描述文献中的伴随物种记录，非明确新纪录事件,C 排除-记录地为国外省区,高,省份为国外行政区
1320,锡金齿突蟾,Scutiger sikimmensis,,Sylvia Hofmann and Daniel Jablonski and Joachim Schmidt (2024). Morphological and molecular data warrant the d,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1322,,Scutiger ghunsa,,Sylvia Hofmann and Daniel Jablonski and Joachim Schmidt (2024). Morphological and molecular data warrant the d,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1338,腹斑倭蛙,Nanorana ventripunctata,云南,Feirong JI and Shengchao SHI and Shun MA and Cheng SHEN and Liming CHANG and Jianping JIANG (2023). A New Spec,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1339,西藏倭蛙,Nanorana parkeri,,Feirong JI and Shengchao SHI and Shun MA and Cheng SHEN and Liming CHANG and Jianping JIANG (2023). A New Spec,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
1340,邦达倭蛙,Nanorana bangdaensis,西藏,Feirong JI and Shengchao SHI and Shun MA and Cheng SHEN and Liming CHANG and Jianping JIANG (2023). A New Spec,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
1341,岷山倭蛙,Nanorana pleskei,四川,Feirong JI and Shengchao SHI and Shun MA and Cheng SHEN and Liming CHANG and Jianping JIANG (2023). A New Spec,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
